iter	Passed	Remaining
0	3	3319
1	6	3164
2	10	3534
3	13	3455
4	17	3412
5	20	3372
6	23	3366
7	27	3419
8	30	3372
9	33	3316
10	36	3238
11	38	3172
12	42	3223
13	45	3170
14	47	3132
15	50	3097
16	53	3071
17	55	3044
18	58	3041
19	61	3018
20	64	2992
21	66	2968
22	69	2946
23	72	2964
24	75	2962
25	78	2942
26	81	2926
27	83	2908
28	86	2903
29	89	2897
30	92	2894
31	95	2881
32	97	2868
33	100	2855
34	104	2878
35	112	3007
36	117	3058
37	122	3090
38	127	3150
39	133	3192
40	136	3188
41	140	3212
42	144	3221
43	148	3218
44	151	3205
45	153	3187
46	156	3180
47	159	3169
48	162	3158
49	165	3141
50	167	3125
51	170	3116
52	174	3117
53	177	3107
54	180	3092
55	182	3080
56	185	3068
57	188	3061
58	191	3056
59	194	3048
60	197	3035
61	199	3023
62	202	3017
63	206	3021
64	209	3018
65	212	3008
66	215	2999
67	218	2988
68	221	2987
69	225	2998
70	228	2990
71	231	2980
72	234	2972
73	237	2967
74	240	2969
75	243	2960
76	246	2952
77	248	2941
78	251	2933
79	254	2932
80	257	2926
81	261	2921
82	263	2915
83	266	2908
84	269	2905
85	272	2900
86	275	2890
87	278	2881
88	280	2872
89	283	2863
90	286	2863
91	289	2858
92	292	2850
93	294	2841
94	297	2833
95	300	2826
96	303	2823
97	306	2819
98	308	2811
99	311	2803
100	314	2796
101	316	2788
102	319	2784
103	322	2777
104	324	2769
105	327	2765
106	330	2761
107	333	2757
108	336	2751
109	339	2747
110	342	2740
111	345	2735
112	348	2733
113	351	2728
114	354	2729
115	357	2726
116	361	2725
117	364	2722
118	367	2721
119	371	2721
120	374	2717
121	377	2715
122	380	2711
123	383	2708
124	386	2707
125	389	2704
126	394	2710
127	397	2708
128	400	2705
129	403	2703
130	406	2699
131	409	2695
132	412	2691
133	415	2686
134	418	2683
135	421	2680
136	424	2675
137	427	2670
138	430	2667
139	433	2661
140	436	2658
141	439	2653
142	442	2648
143	444	2643
144	447	2637
145	449	2631
146	453	2630
147	456	2626
148	458	2621
149	461	2616
150	464	2612
151	467	2610
152	470	2605
153	473	2600
154	475	2594
155	478	2588
156	480	2582
157	484	2579
158	486	2574
159	489	2568
160	491	2563
161	494	2557
162	497	2553
163	500	2549
164	503	2546
165	505	2541
166	508	2536
167	510	2530
168	513	2525
169	516	2522
170	519	2519
171	522	2516
172	525	2511
173	528	2506
174	530	2502
175	533	2498
176	536	2495
177	539	2490
178	541	2485
179	544	2480
180	547	2475
181	549	2471
182	552	2468
183	555	2463
184	558	2458
185	561	2455
186	563	2450
187	566	2447
188	569	2443
189	572	2439
190	574	2435
191	577	2431
192	580	2426
193	583	2422
194	585	2418
195	588	2412
196	591	2409
197	593	2405
198	596	2401
199	599	2397
200	602	2393
201	604	2389
202	607	2384
203	609	2379
204	612	2375
205	615	2372
206	618	2368
207	620	2364
208	623	2360
209	626	2358
210	629	2354
211	632	2351
212	635	2347
213	637	2343
214	640	2338
